[10:36:56] [INFO] [autotune.autotuner] Starting autotune run in C:\Users\Éanna Bonner\Documents\Programs\Masters\Block2\GeneticProgramming\EvolutionaryAlgorithms_MathlerSolver\tunes\tune_20251208_103656
[10:36:56] [INFO] [autotune.autotuner] Search strategy: random
[10:36:56] [INFO] [autotune.autotuner] Trials: 200, games_per_trial: 20, max_workers: 14
[10:37:36] [INFO] [autotune.autotuner] Trial   3: win_rate=0.00, avg_guesses=7.00, score=-21.00, pop=311, genome=29
[10:37:36] [INFO] [autotune.autotuner] New best trial: 3 (score=-21.00, win_rate=0.00, avg_guesses=7.00)
[10:37:58] [INFO] [autotune.autotuner] Trial   9: win_rate=0.20, avg_guesses=1.00, score=17.00, pop=334, genome=24
[10:37:58] [INFO] [autotune.autotuner] New best trial: 9 (score=17.00, win_rate=0.20, avg_guesses=1.00)
[10:38:34] [INFO] [autotune.autotuner] Trial   0: win_rate=0.20, avg_guesses=2.00, score=14.00, pop=726, genome=24
[10:38:40] [INFO] [autotune.autotuner] Trial   1: win_rate=0.25, avg_guesses=1.00, score=22.00, pop=471, genome=24
[10:38:40] [INFO] [autotune.autotuner] New best trial: 1 (score=22.00, win_rate=0.25, avg_guesses=1.00)
[10:39:05] [INFO] [autotune.autotuner] Trial  13: win_rate=0.35, avg_guesses=2.00, score=29.00, pop=575, genome=26
[10:39:05] [INFO] [autotune.autotuner] New best trial: 13 (score=29.00, win_rate=0.35, avg_guesses=2.00)
[10:39:09] [INFO] [autotune.autotuner] Trial   7: win_rate=0.25, avg_guesses=1.00, score=22.00, pop=496, genome=26
[10:39:46] [INFO] [autotune.autotuner] Trial  12: win_rate=0.30, avg_guesses=1.00, score=27.00, pop=901, genome=27
[10:39:48] [INFO] [autotune.autotuner] Trial  11: win_rate=0.00, avg_guesses=7.00, score=-21.00, pop=385, genome=13
[10:39:49] [INFO] [autotune.autotuner] Trial  10: win_rate=0.10, avg_guesses=2.50, score=2.50, pop=498, genome=29
[10:40:01] [INFO] [autotune.autotuner] Trial  16: win_rate=0.15, avg_guesses=1.67, score=10.00, pop=886, genome=21
[10:40:31] [INFO] [autotune.autotuner] Trial  14: win_rate=0.40, avg_guesses=1.25, score=36.25, pop=1156, genome=16
[10:40:31] [INFO] [autotune.autotuner] New best trial: 14 (score=36.25, win_rate=0.40, avg_guesses=1.25)
[10:40:31] [INFO] [autotune.autotuner] Trial   2: win_rate=0.30, avg_guesses=1.17, score=26.50, pop=815, genome=10
[10:40:51] [INFO] [autotune.autotuner] Trial   6: win_rate=0.15, avg_guesses=1.67, score=10.00, pop=719, genome=27
[10:41:29] [INFO] [autotune.autotuner] Trial  22: win_rate=0.40, avg_guesses=1.25, score=36.25, pop=455, genome=12
[10:41:34] [INFO] [autotune.autotuner] Trial   4: win_rate=0.30, avg_guesses=1.50, score=25.50, pop=658, genome=21
[10:41:40] [INFO] [autotune.autotuner] Trial  20: win_rate=0.05, avg_guesses=2.00, score=-1.00, pop=700, genome=14
[10:41:47] [INFO] [autotune.autotuner] Trial   5: win_rate=0.10, avg_guesses=2.00, score=4.00, pop=953, genome=19
[10:41:52] [INFO] [autotune.autotuner] Trial  18: win_rate=0.15, avg_guesses=1.67, score=10.00, pop=1310, genome=27
[10:41:54] [INFO] [autotune.autotuner] Trial  26: win_rate=0.30, avg_guesses=2.00, score=24.00, pop=318, genome=21
[10:42:00] [INFO] [autotune.autotuner] Trial  24: win_rate=0.15, avg_guesses=1.33, score=11.00, pop=527, genome=30
[10:42:16] [INFO] [autotune.autotuner] Trial  19: win_rate=0.25, avg_guesses=2.20, score=18.40, pop=1029, genome=26
[10:42:21] [INFO] [autotune.autotuner] Trial   8: win_rate=0.15, avg_guesses=1.00, score=12.00, pop=716, genome=26
[10:42:55] [INFO] [autotune.autotuner] Trial  17: win_rate=0.20, avg_guesses=1.00, score=17.00, pop=711, genome=16
[10:43:16] [INFO] [autotune.autotuner] Trial  30: win_rate=0.15, avg_guesses=2.33, score=8.00, pop=875, genome=25
[10:43:44] [INFO] [autotune.autotuner] Trial  27: win_rate=0.35, avg_guesses=1.29, score=31.14, pop=468, genome=24
[10:43:59] [INFO] [autotune.autotuner] Trial  28: win_rate=0.20, avg_guesses=1.00, score=17.00, pop=943, genome=14
[10:44:01] [INFO] [autotune.autotuner] Trial  21: win_rate=0.30, avg_guesses=1.50, score=25.50, pop=676, genome=17
[10:44:35] [INFO] [autotune.autotuner] Trial  15: win_rate=0.25, avg_guesses=1.00, score=22.00, pop=909, genome=21
[10:44:36] [INFO] [autotune.autotuner] Trial  37: win_rate=0.45, avg_guesses=1.89, score=39.33, pop=467, genome=14
[10:44:36] [INFO] [autotune.autotuner] New best trial: 37 (score=39.33, win_rate=0.45, avg_guesses=1.89)
[10:46:00] [INFO] [autotune.autotuner] Trial  31: win_rate=0.35, avg_guesses=1.00, score=32.00, pop=1415, genome=13
[10:46:30] [INFO] [autotune.autotuner] Trial  32: win_rate=0.15, avg_guesses=1.33, score=11.00, pop=595, genome=27
[10:46:36] [INFO] [autotune.autotuner] Trial  29: win_rate=0.50, avg_guesses=1.00, score=47.00, pop=925, genome=30
[10:46:36] [INFO] [autotune.autotuner] New best trial: 29 (score=47.00, win_rate=0.50, avg_guesses=1.00)
[10:46:45] [INFO] [autotune.autotuner] Trial  35: win_rate=0.20, avg_guesses=1.75, score=14.75, pop=610, genome=30
[10:46:51] [INFO] [autotune.autotuner] Trial  36: win_rate=0.15, avg_guesses=1.00, score=12.00, pop=1037, genome=29
[10:47:02] [INFO] [autotune.autotuner] Trial  34: win_rate=0.10, avg_guesses=1.00, score=7.00, pop=678, genome=25
[10:47:02] [INFO] [autotune.autotuner] Trial  42: win_rate=0.40, avg_guesses=1.25, score=36.25, pop=482, genome=15
[10:47:42] [INFO] [autotune.autotuner] Trial  23: win_rate=0.25, avg_guesses=1.80, score=19.60, pop=1187, genome=16
[10:47:47] [INFO] [autotune.autotuner] Trial  43: win_rate=0.30, avg_guesses=1.50, score=25.50, pop=993, genome=24
[10:47:52] [INFO] [autotune.autotuner] Trial  45: win_rate=0.05, avg_guesses=2.00, score=-1.00, pop=465, genome=29
[10:48:05] [INFO] [autotune.autotuner] Trial  25: win_rate=0.20, avg_guesses=1.25, score=16.25, pop=1128, genome=12
[10:48:18] [INFO] [autotune.autotuner] Trial  47: win_rate=0.05, avg_guesses=1.00, score=2.00, pop=485, genome=25
[10:48:39] [INFO] [autotune.autotuner] Trial  46: win_rate=0.00, avg_guesses=7.00, score=-21.00, pop=313, genome=18
[10:48:59] [INFO] [autotune.autotuner] Trial  41: win_rate=0.10, avg_guesses=1.00, score=7.00, pop=799, genome=10
[10:49:11] [INFO] [autotune.autotuner] Trial  38: win_rate=0.30, avg_guesses=1.00, score=27.00, pop=1444, genome=29
[10:49:53] [INFO] [autotune.autotuner] Trial  33: win_rate=0.15, avg_guesses=1.33, score=11.00, pop=1120, genome=10
[10:50:17] [INFO] [autotune.autotuner] Trial  48: win_rate=0.25, avg_guesses=1.60, score=20.20, pop=1327, genome=14
[10:50:21] [INFO] [autotune.autotuner] Trial  44: win_rate=0.30, avg_guesses=1.67, score=25.00, pop=554, genome=18
[10:50:40] [INFO] [autotune.autotuner] Trial  51: win_rate=0.10, avg_guesses=1.00, score=7.00, pop=394, genome=12
[10:50:41] [INFO] [autotune.autotuner] Trial  56: win_rate=0.20, avg_guesses=2.75, score=11.75, pop=416, genome=14
[10:51:12] [INFO] [autotune.autotuner] Trial  54: win_rate=0.30, avg_guesses=2.50, score=22.50, pop=379, genome=14
[10:51:27] [INFO] [autotune.autotuner] Trial  53: win_rate=0.30, avg_guesses=2.17, score=23.50, pop=623, genome=13
[10:52:09] [INFO] [autotune.autotuner] Trial  50: win_rate=0.20, avg_guesses=1.25, score=16.25, pop=615, genome=18
[10:52:10] [INFO] [autotune.autotuner] Trial  39: win_rate=0.35, avg_guesses=2.14, score=28.57, pop=1478, genome=12
[10:52:15] [INFO] [autotune.autotuner] Trial  58: win_rate=0.20, avg_guesses=1.00, score=17.00, pop=1188, genome=25
[10:52:40] [INFO] [autotune.autotuner] Trial  40: win_rate=0.20, avg_guesses=2.00, score=14.00, pop=1288, genome=10
[10:53:28] [INFO] [autotune.autotuner] Trial  52: win_rate=0.20, avg_guesses=1.25, score=16.25, pop=1072, genome=10
[10:54:05] [INFO] [autotune.autotuner] Trial  57: win_rate=0.20, avg_guesses=1.00, score=17.00, pop=1185, genome=26
