[03:50:42] [INFO] [autotune.autotuner] Starting autotune run in C:\Users\Éanna Bonner\Documents\Programs\Masters\Block2\GeneticProgramming\EvolutionaryAlgorithms_MathlerSolver\tunes\tune_20251209_035042
[03:50:42] [INFO] [autotune.autotuner] Search strategy: random
[03:50:42] [INFO] [autotune.autotuner] Trials: 200, games_per_trial: 20, max_workers: 14
[03:51:13] [INFO] [autotune.autotuner] Trial   3: win_rate=0.30, avg_guesses=7.50, score=7.50, pop=303, genome=18
[03:51:13] [INFO] [autotune.autotuner] New best trial: 3 (score=7.50, win_rate=0.30, avg_guesses=7.50)
[03:52:16] [INFO] [autotune.autotuner] Trial  11: win_rate=0.65, avg_guesses=4.65, score=51.05, pop=1027, genome=21
[03:52:16] [INFO] [autotune.autotuner] New best trial: 11 (score=51.05, win_rate=0.65, avg_guesses=4.65)
[03:52:25] [INFO] [autotune.autotuner] Trial   6: win_rate=0.40, avg_guesses=7.00, score=19.00, pop=424, genome=27
[03:52:29] [INFO] [autotune.autotuner] Trial  12: win_rate=0.45, avg_guesses=6.40, score=25.80, pop=1141, genome=29
[03:53:54] [INFO] [autotune.autotuner] Trial   9: win_rate=0.60, avg_guesses=5.60, score=43.20, pop=647, genome=17
[03:53:58] [INFO] [autotune.autotuner] Trial  13: win_rate=0.40, avg_guesses=7.00, score=19.00, pop=1122, genome=20
[03:54:12] [INFO] [autotune.autotuner] Trial   0: win_rate=0.45, avg_guesses=6.45, score=25.65, pop=1297, genome=15
[03:54:14] [INFO] [autotune.autotuner] Trial  14: win_rate=0.55, avg_guesses=5.65, score=38.05, pop=496, genome=24
[03:54:26] [INFO] [autotune.autotuner] Trial   4: win_rate=0.65, avg_guesses=5.35, score=48.95, pop=715, genome=11
[03:55:09] [INFO] [autotune.autotuner] Trial  15: win_rate=0.65, avg_guesses=4.75, score=50.75, pop=842, genome=15
[03:55:22] [INFO] [autotune.autotuner] Trial  17: win_rate=0.55, avg_guesses=5.95, score=37.15, pop=563, genome=14
[03:56:01] [INFO] [autotune.autotuner] Trial  10: win_rate=0.80, avg_guesses=3.70, score=68.90, pop=1106, genome=18
[03:56:01] [INFO] [autotune.autotuner] New best trial: 10 (score=68.90, win_rate=0.80, avg_guesses=3.70)
[03:56:12] [INFO] [autotune.autotuner] Trial  20: win_rate=0.35, avg_guesses=7.70, score=11.90, pop=995, genome=21
[03:56:16] [INFO] [autotune.autotuner] Trial   5: win_rate=0.45, avg_guesses=6.35, score=25.95, pop=1499, genome=23
[03:56:23] [INFO] [autotune.autotuner] Trial  23: win_rate=0.55, avg_guesses=6.20, score=36.40, pop=329, genome=30
[03:57:05] [INFO] [autotune.autotuner] Trial   7: win_rate=0.55, avg_guesses=5.75, score=37.75, pop=1132, genome=14
[03:57:06] [INFO] [autotune.autotuner] Trial   1: win_rate=0.60, avg_guesses=5.15, score=44.55, pop=1202, genome=20
[03:57:16] [INFO] [autotune.autotuner] Trial   8: win_rate=0.35, avg_guesses=7.55, score=12.35, pop=1484, genome=29
[03:57:43] [INFO] [autotune.autotuner] Trial  22: win_rate=0.60, avg_guesses=5.55, score=43.35, pop=495, genome=10
[03:58:17] [INFO] [autotune.autotuner] Trial  27: win_rate=0.60, avg_guesses=6.05, score=41.85, pop=1095, genome=29
[03:58:34] [INFO] [autotune.autotuner] Trial  16: win_rate=0.50, avg_guesses=6.55, score=30.35, pop=1098, genome=26
[03:58:54] [INFO] [autotune.autotuner] Trial  30: win_rate=0.60, avg_guesses=5.20, score=44.40, pop=462, genome=28
[03:58:56] [INFO] [autotune.autotuner] Trial  24: win_rate=0.50, avg_guesses=6.75, score=29.75, pop=687, genome=13
[04:00:10] [INFO] [autotune.autotuner] Trial  18: win_rate=0.55, avg_guesses=5.55, score=38.35, pop=1285, genome=10
[04:00:12] [INFO] [autotune.autotuner] Trial  21: win_rate=0.60, avg_guesses=5.45, score=43.65, pop=1472, genome=28
[04:00:30] [INFO] [autotune.autotuner] Trial  35: win_rate=0.45, avg_guesses=6.50, score=25.50, pop=634, genome=20
[04:00:40] [INFO] [autotune.autotuner] Trial  25: win_rate=0.45, avg_guesses=6.60, score=25.20, pop=929, genome=26
[04:00:47] [INFO] [autotune.autotuner] Trial  31: win_rate=0.40, avg_guesses=7.45, score=17.65, pop=399, genome=10
[04:00:52] [INFO] [autotune.autotuner] Trial   2: win_rate=0.45, avg_guesses=7.30, score=23.10, pop=1328, genome=21
[04:00:57] [INFO] [autotune.autotuner] Trial  28: win_rate=0.75, avg_guesses=3.95, score=63.15, pop=1035, genome=14
[04:01:03] [INFO] [autotune.autotuner] Trial  19: win_rate=0.60, avg_guesses=5.00, score=45.00, pop=1387, genome=13
[04:01:45] [INFO] [autotune.autotuner] Trial  33: win_rate=0.70, avg_guesses=4.65, score=56.05, pop=906, genome=25
[04:01:57] [INFO] [autotune.autotuner] Trial  37: win_rate=0.30, avg_guesses=7.65, score=7.05, pop=853, genome=20
[04:02:44] [INFO] [autotune.autotuner] Trial  45: win_rate=0.25, avg_guesses=8.60, score=-0.80, pop=408, genome=20
[04:02:46] [INFO] [autotune.autotuner] Trial  39: win_rate=0.60, avg_guesses=5.55, score=43.35, pop=1093, genome=10
[04:02:47] [INFO] [autotune.autotuner] Trial  32: win_rate=0.60, avg_guesses=5.00, score=45.00, pop=1437, genome=24
[04:03:18] [INFO] [autotune.autotuner] Trial  41: win_rate=0.65, avg_guesses=4.75, score=50.75, pop=635, genome=20
[04:03:29] [INFO] [autotune.autotuner] Trial  42: win_rate=0.60, avg_guesses=5.40, score=43.80, pop=1208, genome=21
[04:03:33] [INFO] [autotune.autotuner] Trial  44: win_rate=0.85, avg_guesses=3.25, score=75.25, pop=1172, genome=29
[04:03:33] [INFO] [autotune.autotuner] New best trial: 44 (score=75.25, win_rate=0.85, avg_guesses=3.25)
